service_date,line,otp_numerator,otp_denominator,otp_score
2016-02-08,Kingston/Plymouth Line,23.0,24.0,0.9583333333333334
2016-02-08,Lowell Line,43.0,51.0,0.8431372549019608
2016-02-08,Lowell Line Shuttle,43.0,51.0,0.8431372549019608
2016-02-08,Middleborough/Lakeville Line,21.0,24.0,0.875
2016-02-08,Needham Line,28.0,32.0,0.875
2016-02-08,Newburyport/Rockport Line,58.0,61.0,0.9508196721311475
2016-02-08,Orange Line,125437.7,136356.76,0.9199228553098503
2016-02-08,Providence/Stoughton Line,58.0,73.0,0.7945205479452054
2016-02-08,Red Line,178514.11,211523.02000000002,0.8439464886611394
2016-02-08,Silver Line,7792.0,8917.0,0.8738364920937535
2016-02-08,Worcester Line Shuttle,84.0,96.0,0.875
2016-02-09,Blue Line,23682.934999999998,25291.672,0.9363926196733849
2016-02-09,Fairmount Line,39.0,40.0,0.975
2016-02-09,Fitchburg Line,35.0,36.0,0.9722222222222222
2016-02-09,Framingham/Worcester Line,44.0,48.0,0.9166666666666666
2016-02-09,Franklin Line,25.0,37.0,0.6756756756756757
2016-02-09,Green Line,5098.246,7163.6077000000005,0.711686933945308
2016-02-09,Greenbush Line,22.0,24.0,0.9166666666666666
2016-02-09,Haverhill Line,46.0,48.0,0.9583333333333334
2016-02-09,Kingston/Plymouth Line,23.0,24.0,0.9583333333333334
2016-02-09,Lowell Line,46.0,52.0,0.8846153846153846
2016-02-09,Lowell Line Shuttle,46.0,52.0,0.8846153846153846
2016-02-09,Middleborough/Lakeville Line,21.0,24.0,0.875
2016-02-09,Needham Line,31.0,32.0,0.96875
2016-02-09,Newburyport/Rockport Line,57.0,62.0,0.9193548387096774
2016-02-09,Orange Line,126869.13,138067.02,0.9188952582593585
2016-02-09,Providence/Stoughton Line,62.0,73.0,0.8493150684931506
2016-02-09,Red Line,194405.81,224112.24,0.8674484267347469
2016-02-09,Silver Line,7132.0,8138.0,0.876382403538953
2016-02-09,Worcester Line Shuttle,88.0,96.0,0.9166666666666666
2016-02-10,Blue Line,23036.833,24527.649,0.9392189606105338
2016-02-10,Fairmount Line,38.0,40.0,0.95
2016-02-10,Fitchburg Line,28.0,36.0,0.7777777777777778
2016-02-10,Framingham/Worcester Line,45.0,48.0,0.9375
2016-02-10,Franklin Line,27.0,37.0,0.7297297297297297
2016-02-10,Green Line,4902.8377,7280.5928,0.6734118820654273
2016-02-10,Greenbush Line,22.0,24.0,0.9166666666666666
2016-02-10,Haverhill Line,43.0,48.0,0.8958333333333334
