service_date,route_or_line,gated_entries
2022-11-10,Blue Line,34980.3
2022-11-10,Green Line,54114.86667092
2022-11-10,Mattapan Line,4179.456
2022-11-10,Orange Line,84508.09
2022-11-10,Red Line,107353.81
2022-11-10,Silver Line,5682.6
2022-11-11,Blue Line,30765.2
2022-11-11,Green Line,51434.60000465
2022-11-11,Mattapan Line,2256.768
2022-11-11,Orange Line,66445.09
2022-11-11,Red Line,83222.51
2022-11-11,Silver Line,4179.1
2022-11-12,Blue Line,28055.3
2022-11-12,Green Line,51667.00333654
2022-11-12,Mattapan Line,103.67999999999999
2022-11-12,Orange Line,55429.21
2022-11-12,Red Line,53812.12
2022-11-12,Silver Line,3027.7
2022-11-13,Blue Line,18557.7
2022-11-13,Green Line,34094.46333549
2022-11-13,Mattapan Line,48.38399999999999
2022-11-13,Orange Line,39882.28
2022-11-13,Red Line,34707.090000000004
2022-11-13,Silver Line,2451.3
2022-11-14,Blue Line,31611.7
2022-11-14,Green Line,45404.82666992
2022-11-14,Mattapan Line,3687.5519999999997
2022-11-14,Orange Line,75683.4
2022-11-14,Red Line,94884.64
2022-11-14,Silver Line,5039.1
2022-11-15,Blue Line,32771.4
2022-11-15,Green Line,46004.23666889
2022-11-15,Mattapan Line,3846.528
2022-11-15,Orange Line,81669.67
2022-11-15,Red Line,106162.36
2022-11-15,Silver Line,5891.5
2022-11-16,Blue Line,30939.2
2022-11-16,Green Line,47287.03666966
2022-11-16,Mattapan Line,3737.0879999999997
2022-11-16,Orange Line,73856.37
2022-11-16,Red Line,101047.06
2022-11-16,Silver Line,5856.0
2022-11-17,Blue Line,33365.2
2022-11-17,Green Line,52698.49000457
2022-11-17,Mattapan Line,3889.152
2022-11-17,Orange Line,83724.91
2022-11-17,Red Line,109418.6
2022-11-17,Silver Line,6240.3
2022-11-18,Blue Line,33508.9
2022-11-18,Green Line,53117.41333737
2022-11-18,Mattapan Line,3434.112
2022-11-18,Orange Line,75809.38
2022-11-18,Red Line,99842.04
2022-11-18,Silver Line,5403.1
2022-11-19,Blue Line,25826.7
2022-11-19,Green Line,49822.62333663
2022-11-19,Mattapan Line,1854.7199999999998
2022-11-19,Orange Line,55152.96
2022-11-19,Red Line,66132.05
2022-11-19,Silver Line,4451.5
2022-11-20,Blue Line,17953.0
2022-11-20,Green Line,32089.75666855
2022-11-20,Mattapan Line,1173.888
2022-11-20,Orange Line,34674.88
2022-11-20,Red Line,42577.83
2022-11-20,Silver Line,3404.7
2022-11-21,Blue Line,30299.0
2022-11-21,Green Line,42576.98000307
2022-11-21,Mattapan Line,3297.024
2022-11-21,Orange Line,70271.88
2022-11-21,Red Line,88521.34
2022-11-21,Silver Line,5242.3
2022-11-22,Blue Line,32296.5
2022-11-22,Green Line,44905.96000385
2022-11-22,Mattapan Line,3640.3199999999997
2022-11-22,Orange Line,74056.5
2022-11-22,Red Line,95944.14
2022-11-22,Silver Line,5592.4
2022-11-23,Blue Line,30301.1
2022-11-23,Green Line,40575.25333619
2022-11-23,Mattapan Line,3117.312
2022-11-23,Orange Line,67783.74
2022-11-23,Red Line,78947.34
2022-11-23,Silver Line,4503.4
2022-11-24,Blue Line,10982.6
2022-11-24,Green Line,13155.61666767
2022-11-24,Mattapan Line,796.0319999999999
2022-11-24,Orange Line,18544.18
2022-11-24,Red Line,23583.77
2022-11-24,Silver Line,1306.0
2022-11-25,Blue Line,24284.7
2022-11-25,Green Line,37970.58333579
2022-11-25,Mattapan Line,2037.888
2022-11-25,Orange Line,54163.52
2022-11-25,Red Line,53989.53
2022-11-25,Silver Line,3212.5
2022-11-26,Blue Line,23810.0
2022-11-26,Green Line,36972.45333575
2022-11-26,Mattapan Line,1772.9279999999999
2022-11-26,Orange Line,46854.18
2022-11-26,Red Line,51609.1
2022-11-26,Silver Line,3639.1
2022-11-27,Blue Line,18843.7
2022-11-27,Green Line,27002.09000163
2022-11-27,Mattapan Line,990.7199999999999
2022-11-27,Orange Line,35077.29
2022-11-27,Red Line,37522.52
2022-11-27,Silver Line,2834.9
2022-11-28,Blue Line,32323.6
2022-11-28,Green Line,43583.69333678
2022-11-28,Mattapan Line,3688.7039999999997
2022-11-28,Orange Line,72701.6
2022-11-28,Red Line,88722.04
2022-11-28,Silver Line,4938.4
2022-11-29,Blue Line,33181.4
2022-11-29,Green Line,48693.86333749
2022-11-29,Mattapan Line,3847.68
2022-11-29,Orange Line,81683.8
2022-11-29,Red Line,99895.47
2022-11-29,Silver Line,6011.3
2022-11-30,Blue Line,32436.2
2022-11-30,Green Line,50221.58667087
2022-11-30,Mattapan Line,3693.3119999999994
2022-11-30,Orange Line,81918.26
2022-11-30,Red Line,96415.72
2022-11-30,Silver Line,6811.4
2022-12-01,Blue Line,33891.0
2022-12-01,Green Line,48873.91666802
2022-12-01,Mattapan Line,3732.48
2022-12-01,Orange Line,80914.97
2022-12-01,Red Line,104677.48
2022-12-01,Silver Line,6183.3
2022-12-02,Blue Line,32988.8
2022-12-02,Green Line,52538.58667034
2022-12-02,Mattapan Line,3522.816
2022-12-02,Orange Line,79210.78
2022-12-02,Red Line,99480.1
2022-12-02,Silver Line,5822.4
2022-12-03,Blue Line,22473.8
2022-12-03,Green Line,41375.90333548
2022-12-03,Mattapan Line,38.016
2022-12-03,Orange Line,49896.05
2022-12-03,Red Line,41732.98
2022-12-03,Silver Line,3265.6
2022-12-04,Blue Line,18913.9
2022-12-04,Green Line,32808.17666859
2022-12-04,Mattapan Line,14.975999999999999
2022-12-04,Orange Line,37714.35
2022-12-04,Red Line,36441.54
2022-12-04,Silver Line,3416.2
2022-12-05,Blue Line,31260.7
2022-12-05,Green Line,41266.45666907
2022-12-05,Mattapan Line,3574.656
2022-12-05,Orange Line,75530.33
2022-12-05,Red Line,89776.38
2022-12-05,Silver Line,5133.3
2022-12-06,Blue Line,32215.7
2022-12-06,Green Line,44883.86666901
2022-12-06,Mattapan Line,3756.6719999999996
2022-12-06,Orange Line,80575.35
2022-12-06,Red Line,102847.85
2022-12-06,Silver Line,6254.4
2022-12-07,Blue Line,32045.0
2022-12-07,Green Line,45032.58000276
2022-12-07,Mattapan Line,3453.696
2022-12-07,Orange Line,78819.38
2022-12-07,Red Line,100129.84
2022-12-07,Silver Line,6097.2
2022-12-08,Blue Line,34695.7
2022-12-08,Green Line,49633.0133369
2022-12-08,Mattapan Line,3801.6
2022-12-08,Orange Line,80204.69
2022-12-08,Red Line,106683.93
2022-12-08,Silver Line,6625.0
2022-12-09,Blue Line,31920.5
2022-12-09,Green Line,46835.0033352
2022-12-09,Mattapan Line,3356.928
2022-12-09,Orange Line,75178.62
2022-12-09,Red Line,96108.91
2022-12-09,Silver Line,5340.3
2022-12-10,Blue Line,23672.4
2022-12-10,Green Line,45670.41666968
2022-12-10,Mattapan Line,1657.7279999999998
2022-12-10,Orange Line,42642.42
2022-12-10,Red Line,36084.53
2022-12-10,Silver Line,3984.9
2022-12-11,Blue Line,17622.1
2022-12-11,Green Line,32791.30666837
2022-12-11,Mattapan Line,974.592
2022-12-11,Orange Line,34674.1
2022-12-11,Red Line,23787.46
2022-12-11,Silver Line,3031.2
2022-12-12,Blue Line,29187.5
2022-12-12,Green Line,51197.09000941
2022-12-12,Mattapan Line,3248.64
2022-12-12,Orange Line,66656.86
2022-12-12,Red Line,86048.75
2022-12-12,Silver Line,5209.3
2022-12-13,Blue Line,31773.4
2022-12-13,Green Line,56500.93667554
2022-12-13,Mattapan Line,3578.1119999999996
2022-12-13,Orange Line,80922.12
2022-12-13,Red Line,99229.71
2022-12-13,Silver Line,6367.5
2022-12-14,Blue Line,31386.5
2022-12-14,Green Line,53919.12334093
2022-12-14,Mattapan Line,3590.7839999999997
2022-12-14,Orange Line,77624.76
2022-12-14,Red Line,97670.55
2022-12-14,Silver Line,6457.9
2022-12-15,Blue Line,32378.0
2022-12-15,Green Line,55351.73000753
2022-12-15,Mattapan Line,3477.888
2022-12-15,Orange Line,80211.23
2022-12-15,Red Line,99619.64
2022-12-15,Silver Line,6512.9
2022-12-16,Blue Line,26684.8
2022-12-16,Green Line,44547.70333698
2022-12-16,Mattapan Line,2936.448
2022-12-16,Orange Line,65334.83
2022-12-16,Red Line,77926.4
2022-12-16,Silver Line,5003.6
2022-12-17,Blue Line,24506.0
2022-12-17,Green Line,48278.03667383
2022-12-17,Mattapan Line,24.191999999999997
2022-12-17,Orange Line,51515.47
2022-12-17,Red Line,53477.46
2022-12-17,Silver Line,3722.2
2022-12-18,Blue Line,19186.3
2022-12-18,Green Line,35701.88000499
2022-12-18,Mattapan Line,3.4559999999999995
2022-12-18,Orange Line,38853.68
2022-12-18,Red Line,41028.64
2022-12-18,Silver Line,3158.0
2022-12-19,Blue Line,29109.3
2022-12-19,Green Line,42853.93333885
2022-12-19,Mattapan Line,3207.1679999999997
2022-12-19,Orange Line,68136.39
2022-12-19,Red Line,81221.51
2022-12-19,Silver Line,4916.7
2022-12-20,Blue Line,30895.0
2022-12-20,Green Line,45982.58333923
2022-12-20,Mattapan Line,3035.52
2022-12-20,Orange Line,69225.98
2022-12-20,Red Line,85421.47
2022-12-20,Silver Line,5481.8
2022-12-21,Blue Line,29569.7
2022-12-21,Green Line,44313.06000503
2022-12-21,Mattapan Line,3353.4719999999998
2022-12-21,Orange Line,71647.86
2022-12-21,Red Line,84088.28
2022-12-21,Silver Line,5415.6
2022-12-22,Blue Line,28892.7
2022-12-22,Green Line,39097.87000401
2022-12-22,Mattapan Line,3094.272
2022-12-22,Orange Line,65853.6
2022-12-22,Red Line,75145.33
2022-12-22,Silver Line,4914.0
2022-12-23,Blue Line,22155.6
2022-12-23,Green Line,25965.44333481
2022-12-23,Mattapan Line,2028.6719999999998
2022-12-23,Orange Line,46186.96
2022-12-23,Red Line,47666.53
2022-12-23,Silver Line,3030.3
2022-12-24,Blue Line,14538.6
2022-12-24,Green Line,16883.56666754
2022-12-24,Mattapan Line,1088.6399999999999
2022-12-24,Orange Line,25669.38
2022-12-24,Red Line,26055.12
2022-12-24,Silver Line,2038.0
2022-12-25,Blue Line,7258.2
2022-12-25,Green Line,9865.37000083
2022-12-25,Mattapan Line,518.4
2022-12-25,Orange Line,14528.91
2022-12-25,Red Line,13835.12
2022-12-25,Silver Line,961.9
2022-12-26,Blue Line,17056.6
2022-12-26,Green Line,23298.01000243
2022-12-26,Mattapan Line,1243.0079999999998
2022-12-26,Orange Line,30119.86
2022-12-26,Red Line,32127.43
2022-12-26,Silver Line,2229.6
2022-12-27,Blue Line,25681.1
2022-12-27,Green Line,34827.36333688
2022-12-27,Mattapan Line,2247.5519999999997
2022-12-27,Orange Line,52359.79
2022-12-27,Red Line,56754.88
2022-12-27,Silver Line,4142.2
2022-12-28,Blue Line,25719.1
2022-12-28,Green Line,36732.06000381
2022-12-28,Mattapan Line,2030.9759999999999
2022-12-28,Orange Line,53047.25
2022-12-28,Red Line,59624.59
2022-12-28,Silver Line,4071.5
2022-12-29,Blue Line,28258.9
2022-12-29,Green Line,40764.08000459
2022-12-29,Mattapan Line,2396.16
2022-12-29,Orange Line,58292.58
2022-12-29,Red Line,65457.44
2022-12-29,Silver Line,4562.5
2022-12-30,Blue Line,28150.9
2022-12-30,Green Line,43758.753338739996
2022-12-30,Mattapan Line,2318.9759999999997
2022-12-30,Orange Line,56294.65
2022-12-30,Red Line,64264.13
2022-12-30,Silver Line,4301.9
2022-12-31,Blue Line,19701.1
2022-12-31,Green Line,35811.34000488
2022-12-31,Mattapan Line,1331.712
2022-12-31,Orange Line,37617.53
2022-12-31,Red Line,40326.53
2022-12-31,Silver Line,2389.5
2023-01-01,Blue Line,15214.4
2023-01-01,Green Line,22745.689929
2023-01-01,Mattapan Line,660.095964
2023-01-01,Orange Line,24492.17
2023-01-01,Red Line,27863.44
2023-01-01,Silver Line,2029.3
2023-01-02,Blue Line,19025.4
2023-01-02,Green Line,33941.003255
2023-01-02,Mattapan Line,1361.663962
2023-01-02,Orange Line,36121.95
2023-01-02,Red Line,40917.08
2023-01-02,Silver Line,2496.9
2023-01-03,Blue Line,25893.5
2023-01-03,Green Line,37541.84992
2023-01-03,Mattapan Line,2716.415957
2023-01-03,Orange Line,59507.71
2023-01-03,Red Line,75115.94
2023-01-03,Silver Line,5247.5
2023-01-04,Blue Line,30212.7
2023-01-04,Green Line,42873.253252
2023-01-04,Mattapan Line,3291.263959
2023-01-04,Orange Line,66792.76
2023-01-04,Red Line,84428.32
2023-01-04,Silver Line,5438.8
2023-01-05,Blue Line,30162.3
2023-01-05,Green Line,44336.933253
2023-01-05,Mattapan Line,2582.783962
2023-01-05,Orange Line,66905.0
2023-01-05,Red Line,84581.3
2023-01-05,Silver Line,5494.8
2023-01-06,Blue Line,28520.6
2023-01-06,Green Line,39676.569914
2023-01-06,Mattapan Line,2854.655965
2023-01-06,Orange Line,60631.83
2023-01-06,Red Line,73358.6
2023-01-06,Silver Line,4355.9
2023-01-07,Blue Line,23883.2
2023-01-07,Green Line,42019.469916
2023-01-07,Mattapan Line,13.823989000000001
2023-01-07,Orange Line,43341.96
2023-01-07,Red Line,34456.77
2023-01-07,Silver Line,2420.1
2023-01-08,Blue Line,18184.6
2023-01-08,Green Line,24479.579962
2023-01-08,Mattapan Line,1.151999
2023-01-08,Orange Line,30738.65
2023-01-08,Red Line,24745.07
2023-01-08,Silver Line,2042.6
2023-01-09,Blue Line,29710.5
2023-01-09,Green Line,41810.436581
2023-01-09,Mattapan Line,3275.13596
2023-01-09,Orange Line,70866.45
2023-01-09,Red Line,80904.18
2023-01-09,Silver Line,4872.6
2023-01-10,Blue Line,31285.6
2023-01-10,Green Line,45145.663259
2023-01-10,Mattapan Line,3354.623959
2023-01-10,Orange Line,76136.82
2023-01-10,Red Line,90884.45
2023-01-10,Silver Line,5926.3
2023-01-11,Blue Line,31609.8
2023-01-11,Green Line,47517.566583
2023-01-11,Mattapan Line,3468.67196
2023-01-11,Orange Line,80475.47
2023-01-11,Red Line,90988.63
2023-01-11,Silver Line,6088.2
2023-01-12,Blue Line,31445.5
2023-01-12,Green Line,48022.003261
2023-01-12,Mattapan Line,3340.799959
2023-01-12,Orange Line,77951.35
2023-01-12,Red Line,91114.48
2023-01-12,Silver Line,6064.0
2023-01-13,Blue Line,30429.8
2023-01-13,Green Line,44232.076585
2023-01-13,Mattapan Line,3089.663962
2023-01-13,Orange Line,69206.21
2023-01-13,Red Line,80033.28
2023-01-13,Silver Line,4558.8
2023-01-14,Blue Line,22482.3
2023-01-14,Green Line,44878.803251
2023-01-14,Mattapan Line,1620.863956
2023-01-14,Orange Line,35517.99
2023-01-14,Red Line,49318.74
2023-01-14,Silver Line,2936.5
2023-01-15,Blue Line,17245.0
2023-01-15,Green Line,32064.353263
2023-01-15,Mattapan Line,1087.48796
2023-01-15,Orange Line,22325.57
2023-01-15,Red Line,38811.11
2023-01-15,Silver Line,2483.3
2023-01-16,Blue Line,19194.2
2023-01-16,Green Line,32223.973256
2023-01-16,Mattapan Line,1592.06396
2023-01-16,Orange Line,37575.29
2023-01-16,Red Line,44354.27
2023-01-16,Silver Line,2985.6
2023-01-17,Blue Line,31949.2
2023-01-17,Green Line,48613.076581
2023-01-17,Mattapan Line,3405.311965
2023-01-17,Orange Line,77091.33
2023-01-17,Red Line,94175.96
2023-01-17,Silver Line,5927.6
2023-01-18,Blue Line,32481.7
2023-01-18,Green Line,50087.976587
2023-01-18,Mattapan Line,3526.271962
2023-01-18,Orange Line,77737.57
2023-01-18,Red Line,97724.22
2023-01-18,Silver Line,6117.7
2023-01-19,Blue Line,32150.2
2023-01-19,Green Line,53279.386585
2023-01-19,Mattapan Line,3557.375965
2023-01-19,Orange Line,78361.13
2023-01-19,Red Line,95369.05
2023-01-19,Silver Line,6804.9
2023-01-20,Blue Line,29168.6
2023-01-20,Green Line,47238.143245
2023-01-20,Mattapan Line,3089.663958
2023-01-20,Orange Line,67024.8
2023-01-20,Red Line,80322.49
2023-01-20,Silver Line,4599.3
2023-01-21,Blue Line,22622.4
2023-01-21,Green Line,46277.89325
2023-01-21,Mattapan Line,1588.607958
2023-01-21,Orange Line,45553.13
2023-01-21,Red Line,53850.11
2023-01-21,Silver Line,2856.8
2023-01-22,Blue Line,17383.9
2023-01-22,Green Line,31959.319943
2023-01-22,Mattapan Line,1108.223958
2023-01-22,Orange Line,35569.48
2023-01-22,Red Line,39994.5
2023-01-22,Silver Line,2517.3
2023-01-23,Blue Line,26774.4
2023-01-23,Green Line,40664.823254
2023-01-23,Mattapan Line,3263.615958
2023-01-23,Orange Line,66991.09
2023-01-23,Red Line,82737.82
2023-01-23,Silver Line,5240.2
2023-01-24,Blue Line,30820.9
2023-01-24,Green Line,50849.969914
2023-01-24,Mattapan Line,3730.17596
2023-01-24,Orange Line,78771.21
2023-01-24,Red Line,99802.02
2023-01-24,Silver Line,6334.4
2023-01-25,Blue Line,31688.1
2023-01-25,Green Line,50537.023251
2023-01-25,Mattapan Line,3669.119964
2023-01-25,Orange Line,77347.19
2023-01-25,Red Line,99500.12
2023-01-25,Silver Line,6200.4
2023-01-26,Blue Line,31760.8
2023-01-26,Green Line,53307.199914
2023-01-26,Mattapan Line,3681.791961
2023-01-26,Orange Line,80702.05
2023-01-26,Red Line,100673.25
2023-01-26,Silver Line,6759.2
2023-01-27,Blue Line,31388.0
2023-01-27,Green Line,53643.709907
2023-01-27,Mattapan Line,3547.007958
2023-01-27,Orange Line,73118.81
2023-01-27,Red Line,91848.18
2023-01-27,Silver Line,5225.8
2023-01-28,Blue Line,24244.1
2023-01-28,Green Line,52560.329926
2023-01-28,Mattapan Line,1829.37596
2023-01-28,Orange Line,32802.81
2023-01-28,Red Line,58847.36
2023-01-28,Silver Line,2986.9
2023-01-29,Blue Line,16911.0
2023-01-29,Green Line,33222.913268
2023-01-29,Mattapan Line,1276.415962
2023-01-29,Orange Line,19907.92
2023-01-29,Red Line,42010.7
2023-01-29,Silver Line,2338.8
2023-01-30,Blue Line,29704.2
2023-01-30,Green Line,43513.98991
2023-01-30,Mattapan Line,3511.295963
2023-01-30,Orange Line,70888.44
2023-01-30,Red Line,86987.17
2023-01-30,Silver Line,4935.7
2023-01-31,Blue Line,32309.8
2023-01-31,Green Line,50353.749922
2023-01-31,Mattapan Line,3627.647957
2023-01-31,Orange Line,80196.92
2023-01-31,Red Line,98337.43
2023-01-31,Silver Line,6156.1
2023-02-01,Blue Line,32617.8
2023-02-01,Green Line,52139.329914
2023-02-01,Mattapan Line,3632.25596
2023-02-01,Orange Line,83129.11
2023-02-01,Red Line,101507.26
2023-02-01,Silver Line,6260.5
2023-02-02,Blue Line,32446.3
2023-02-02,Green Line,52956.783251
2023-02-02,Mattapan Line,3552.767958
2023-02-02,Orange Line,75816.36
2023-02-02,Red Line,98834.19
2023-02-02,Silver Line,6152.2
2023-02-03,Blue Line,22265.7
2023-02-03,Green Line,33613.946589
2023-02-03,Mattapan Line,2180.735961
2023-02-03,Orange Line,48642.73
2023-02-03,Red Line,60099.49
2023-02-03,Silver Line,3974.3
2023-02-04,Blue Line,12405.3
2023-02-04,Green Line,22295.869928
2023-02-04,Mattapan Line,922.7519599999999
2023-02-04,Orange Line,21292.82
2023-02-04,Red Line,24152.91
2023-02-04,Silver Line,1631.6
2023-02-05,Blue Line,16948.5
2023-02-05,Green Line,31832.266599
2023-02-05,Mattapan Line,1037.95196
2023-02-05,Orange Line,27533.56
2023-02-05,Red Line,37119.94
2023-02-05,Silver Line,2162.4
2023-02-06,Blue Line,30600.3
2023-02-06,Green Line,45157.253255
2023-02-06,Mattapan Line,3461.759964
2023-02-06,Orange Line,73914.09
2023-02-06,Red Line,82878.59
2023-02-06,Silver Line,4831.6
2023-02-07,Blue Line,32874.3
2023-02-07,Green Line,50194.853257
2023-02-07,Mattapan Line,3711.743963
2023-02-07,Orange Line,79189.48
2023-02-07,Red Line,94986.9
2023-02-07,Silver Line,5811.8
2023-02-08,Blue Line,34108.3
2023-02-08,Green Line,52604.926577
2023-02-08,Mattapan Line,3697.919958
2023-02-08,Orange Line,83865.12
2023-02-08,Red Line,99301.32
2023-02-08,Silver Line,6090.5
2023-02-09,Blue Line,34704.8
2023-02-09,Green Line,49675.003245
2023-02-09,Mattapan Line,3686.399965
2023-02-09,Orange Line,77382.4
2023-02-09,Red Line,95914.23
2023-02-09,Silver Line,6138.4
2023-02-10,Blue Line,34564.0
2023-02-10,Green Line,54604.719918
2023-02-10,Mattapan Line,3518.20796
2023-02-10,Orange Line,75615.62
2023-02-10,Red Line,88195.66
2023-02-10,Silver Line,4567.0
2023-02-11,Blue Line,25483.0
2023-02-11,Green Line,46415.999919
2023-02-11,Mattapan Line,1905.407962
2023-02-11,Orange Line,37700.51
2023-02-11,Red Line,55187.19
2023-02-11,Silver Line,2697.3
2023-02-12,Blue Line,19848.0
2023-02-12,Green Line,31562.516586
2023-02-12,Mattapan Line,1134.719964
2023-02-12,Orange Line,33611.84
2023-02-12,Red Line,40422.91
2023-02-12,Silver Line,2202.4
2023-02-13,Blue Line,32064.9
2023-02-13,Green Line,44713.313261
2023-02-13,Mattapan Line,3462.911962
2023-02-13,Orange Line,73516.45
2023-02-13,Red Line,84567.67
2023-02-13,Silver Line,5006.0
2023-02-14,Blue Line,35577.3
2023-02-14,Green Line,53111.736585
2023-02-14,Mattapan Line,3665.663958
2023-02-14,Orange Line,81162.91
2023-02-14,Red Line,98151.12
2023-02-14,Silver Line,6099.6
2023-02-15,Blue Line,34807.8
2023-02-15,Green Line,52122.653246
2023-02-15,Mattapan Line,3719.807961
2023-02-15,Orange Line,81961.14
2023-02-15,Red Line,96534.24
2023-02-15,Silver Line,6032.0
2023-02-16,Blue Line,35484.9
2023-02-16,Green Line,51239.736592
2023-02-16,Mattapan Line,3687.551961
2023-02-16,Orange Line,79017.47
2023-02-16,Red Line,96812.66
2023-02-16,Silver Line,6045.9
2023-02-17,Blue Line,32579.1
2023-02-17,Green Line,49735.47658
2023-02-17,Mattapan Line,3287.80796
2023-02-17,Orange Line,70327.77
2023-02-17,Red Line,83690.32
2023-02-17,Silver Line,5085.5
2023-02-18,Blue Line,24834.2
2023-02-18,Green Line,50295.80993
2023-02-18,Mattapan Line,1823.615958
2023-02-18,Orange Line,31891.51
2023-02-18,Red Line,57805.78
2023-02-18,Silver Line,3156.7
2023-02-19,Blue Line,19286.9
2023-02-19,Green Line,37378.076609
2023-02-19,Mattapan Line,1293.695961
2023-02-19,Orange Line,22424.87
2023-02-19,Red Line,46705.32
2023-02-19,Silver Line,2737.5
2023-02-20,Blue Line,25102.4
2023-02-20,Green Line,37414.42326
2023-02-20,Mattapan Line,1891.5839600000002
2023-02-20,Orange Line,44308.26
2023-02-20,Red Line,53669.15
2023-02-20,Silver Line,3294.1
2023-02-21,Blue Line,31612.9
2023-02-21,Green Line,48930.273252
2023-02-21,Mattapan Line,3181.823962
2023-02-21,Orange Line,72196.39
2023-02-21,Red Line,87415.57
2023-02-21,Silver Line,5973.7
2023-02-22,Blue Line,33612.5
2023-02-22,Green Line,52627.699918
2023-02-22,Mattapan Line,3292.41596
2023-02-22,Orange Line,76014.18
2023-02-22,Red Line,93183.82
2023-02-22,Silver Line,6222.8
2023-02-23,Blue Line,27903.0
2023-02-23,Green Line,45023.90992
2023-02-23,Mattapan Line,2820.095963
2023-02-23,Orange Line,65220.29
2023-02-23,Red Line,79257.8
2023-02-23,Silver Line,5705.5
2023-02-24,Blue Line,29870.3
2023-02-24,Green Line,49725.423255
2023-02-24,Mattapan Line,2791.2959650000003
2023-02-24,Orange Line,63451.5
2023-02-24,Red Line,74723.21
2023-02-24,Silver Line,4676.9
2023-02-25,Blue Line,20595.1
2023-02-25,Green Line,37766.599916
2023-02-25,Mattapan Line,1375.487962
2023-02-25,Orange Line,36029.13
2023-02-25,Red Line,26170.27
2023-02-25,Silver Line,2400.9
2023-02-26,Blue Line,17456.7
2023-02-26,Green Line,30727.146611
2023-02-26,Mattapan Line,1005.695964
2023-02-26,Orange Line,30406.32
2023-02-26,Red Line,23812.2
2023-02-26,Silver Line,2210.3
2023-02-27,Blue Line,31432.4
2023-02-27,Green Line,43824.799918
2023-02-27,Mattapan Line,3337.343962
2023-02-27,Orange Line,68846.27
2023-02-27,Red Line,83025.83
2023-02-27,Silver Line,5146.7
2023-02-28,Blue Line,25824.4
2023-02-28,Green Line,36417.076587999996
2023-02-28,Mattapan Line,2803.967962
2023-02-28,Orange Line,57060.17
2023-02-28,Red Line,68616.62
2023-02-28,Silver Line,4531.9
2023-03-01,Blue Line,33959.1
2023-03-01,Green Line,54468.333249
2023-03-01,Mattapan Line,3701.37596
2023-03-01,Orange Line,84269.51
2023-03-01,Red Line,98158.39
2023-03-01,Silver Line,6296.5
2023-03-02,Blue Line,33808.1
2023-03-02,Green Line,52254.93325
2023-03-02,Mattapan Line,3543.551959
2023-03-02,Orange Line,81892.94
2023-03-02,Red Line,94503.06
2023-03-02,Silver Line,6276.3
2023-03-03,Blue Line,34591.3
2023-03-03,Green Line,53693.133244
2023-03-03,Mattapan Line,3459.455962
2023-03-03,Orange Line,78057.15
2023-03-03,Red Line,87772.55
2023-03-03,Silver Line,5300.2
2023-03-04,Blue Line,20591.6
2023-03-04,Green Line,35317.236585
2023-03-04,Mattapan Line,1226.87996
2023-03-04,Orange Line,40911.36
2023-03-04,Red Line,17098.17
2023-03-04,Silver Line,1325.8
2023-03-05,Blue Line,20324.7
2023-03-05,Green Line,33433.686598
2023-03-05,Mattapan Line,1005.695962
2023-03-05,Orange Line,37646.28
2023-03-05,Red Line,12389.0
2023-03-05,Silver Line,1032.0
2023-03-06,Blue Line,32718.4
2023-03-06,Green Line,44639.449914
2023-03-06,Mattapan Line,3540.0959629999998
2023-03-06,Orange Line,72580.26
2023-03-06,Red Line,83561.79
2023-03-06,Silver Line,5112.6
2023-03-07,Blue Line,34090.9
2023-03-07,Green Line,50171.933252
2023-03-07,Mattapan Line,3745.151965
2023-03-07,Orange Line,76701.03
2023-03-07,Red Line,93666.47
2023-03-07,Silver Line,6402.0
2023-03-08,Blue Line,35390.0
2023-03-08,Green Line,51005.466589999996
2023-03-08,Mattapan Line,3740.543961
2023-03-08,Orange Line,81831.86
2023-03-08,Red Line,96862.04
2023-03-08,Silver Line,6422.8
2023-03-09,Blue Line,34009.5
2023-03-09,Green Line,52214.989919
2023-03-09,Mattapan Line,3538.94396
2023-03-09,Orange Line,78795.77
2023-03-09,Red Line,95536.34
2023-03-09,Silver Line,6319.4
2023-03-10,Blue Line,24171.6
2023-03-10,Green Line,49157.146579
2023-03-10,Mattapan Line,3148.41596
2023-03-10,Orange Line,68310.47
2023-03-10,Red Line,83189.95
2023-03-10,Silver Line,4592.5
2023-03-11,Blue Line,23947.9
2023-03-11,Green Line,39582.823254
2023-03-11,Mattapan Line,1306.367962
2023-03-11,Orange Line,23568.14
2023-03-11,Red Line,47172.77
2023-03-11,Silver Line,2717.2
2023-03-12,Blue Line,20931.2
2023-03-12,Green Line,30297.809936999998
2023-03-12,Mattapan Line,1148.54396
2023-03-12,Orange Line,17502.9
2023-03-12,Red Line,38076.39
2023-03-12,Silver Line,2630.7
2023-03-13,Blue Line,31276.1
2023-03-13,Green Line,45351.709926
2023-03-13,Mattapan Line,3199.103963
2023-03-13,Orange Line,69329.05
2023-03-13,Red Line,76850.54
2023-03-13,Silver Line,4969.1
2023-03-14,Blue Line,23629.1
2023-03-14,Green Line,31716.82659
2023-03-14,Mattapan Line,2427.263962
2023-03-14,Orange Line,51369.38
2023-03-14,Red Line,56252.96
2023-03-14,Silver Line,4626.9
2023-03-15,Blue Line,32337.7
2023-03-15,Green Line,50066.783255
2023-03-15,Mattapan Line,3166.847959
2023-03-15,Orange Line,70958.6
2023-03-15,Red Line,83859.15
2023-03-15,Silver Line,5698.1
