service_date,line,estimated_boardings,ObjectId
2020/07/15 04:00:00+00,Fitchburg,551,102
2020/07/15 04:00:00+00,Greenbush,341,103
2020/07/15 04:00:00+00,Fairmount,479.5,104
2020/07/16 04:00:00+00,Providence/Stoughton,2664,105
2020/07/16 04:00:00+00,Newburyport/Rockport,1599,106
2020/07/16 04:00:00+00,Framingham/Worcester,1568,107
2020/07/16 04:00:00+00,Franklin/Foxboro,1361,108
2020/07/16 04:00:00+00,Middleborough/Lakeville,972,109
2020/07/16 04:00:00+00,Lowell,946.5,110
2020/07/16 04:00:00+00,Haverhill,735,111
2020/07/16 04:00:00+00,Kingston,774,112
2020/07/16 04:00:00+00,Needham,706.5,113
2020/07/16 04:00:00+00,Fitchburg,583,114
2020/07/16 04:00:00+00,Greenbush,338,115
2020/07/16 04:00:00+00,Fairmount,427,116
2020/07/17 04:00:00+00,Providence/Stoughton,2638.5,117
2020/07/17 04:00:00+00,Newburyport/Rockport,1429.5,118
2020/07/17 04:00:00+00,Framingham/Worcester,1219.5,119
2020/07/17 04:00:00+00,Franklin/Foxboro,1426,120
2020/07/17 04:00:00+00,Middleborough/Lakeville,962,121
2020/07/17 04:00:00+00,Lowell,847,122
2020/07/17 04:00:00+00,Haverhill,691,123
2020/07/17 04:00:00+00,Kingston,799,124
2020/07/17 04:00:00+00,Needham,556.5,125
2020/07/17 04:00:00+00,Fitchburg,587,126
2020/07/17 04:00:00+00,Greenbush,297,127
2020/07/17 04:00:00+00,Fairmount,386.5,128
2020/07/20 04:00:00+00,Providence/Stoughton,2737,129
2020/07/20 04:00:00+00,Newburyport/Rockport,1354.5,130
2020/07/20 04:00:00+00,Framingham/Worcester,1361,131
2020/07/20 04:00:00+00,Franklin/Foxboro,1515.5,132
2020/07/20 04:00:00+00,Middleborough/Lakeville,857,133
2020/07/20 04:00:00+00,Lowell,893.5,134
2020/07/20 04:00:00+00,Haverhill,619,135
2020/07/20 04:00:00+00,Kingston,737,136
2020/07/20 04:00:00+00,Needham,795,137
2020/07/20 04:00:00+00,Fitchburg,570,138
2020/07/20 04:00:00+00,Greenbush,274,139
2020/07/20 04:00:00+00,Fairmount,349,140
2020/07/21 04:00:00+00,Providence/Stoughton,2944,141
2020/07/21 04:00:00+00,Newburyport/Rockport,1505,142
2020/07/21 04:00:00+00,Framingham/Worcester,1540,143
2020/07/21 04:00:00+00,Franklin/Foxboro,1474.5,144
2020/07/21 04:00:00+00,Middleborough/Lakeville,945,145
2020/07/21 04:00:00+00,Lowell,879,146
2020/07/21 04:00:00+00,Haverhill,651,147
2020/07/21 04:00:00+00,Kingston,806,148
2020/07/21 04:00:00+00,Needham,623.5,149
2020/07/21 04:00:00+00,Fitchburg,606,150
2020/07/09 04:00:00+00,Haverhill,770,151
2020/07/09 04:00:00+00,Kingston,884.5,152
2020/07/09 04:00:00+00,Needham,400,153
2020/07/09 04:00:00+00,Fitchburg,710,154
2020/07/09 04:00:00+00,Greenbush,372,155
2020/07/09 04:00:00+00,Fairmount,339.5,156
2020/07/10 04:00:00+00,Providence/Stoughton,2269.5,157
2020/07/10 04:00:00+00,Newburyport/Rockport,1418.5,158
2020/07/10 04:00:00+00,Framingham/Worcester,544.5,159
2020/07/10 04:00:00+00,Franklin/Foxboro,1325.5,160
2020/07/10 04:00:00+00,Middleborough/Lakeville,944,161
2020/07/10 04:00:00+00,Lowell,950.5,162
2020/07/10 04:00:00+00,Haverhill,693,163
2020/07/10 04:00:00+00,Kingston,796.5,164
2020/07/10 04:00:00+00,Needham,548,165
2020/07/10 04:00:00+00,Fitchburg,543,166
2020/07/10 04:00:00+00,Greenbush,367,167
2020/07/10 04:00:00+00,Fairmount,402,168
2020/07/13 04:00:00+00,Providence/Stoughton,2514.5,169
2020/07/13 04:00:00+00,Newburyport/Rockport,1504,170
2020/07/13 04:00:00+00,Framingham/Worcester,1271.5,171
2020/07/13 04:00:00+00,Franklin/Foxboro,1243,172
2020/07/13 04:00:00+00,Middleborough/Lakeville,826.5,173
2020/07/13 04:00:00+00,Lowell,870.5,174
2020/07/13 04:00:00+00,Haverhill,635,175
2020/07/13 04:00:00+00,Kingston,727,176
2020/07/13 04:00:00+00,Needham,543,177
2020/07/13 04:00:00+00,Fitchburg,534,178
2020/07/13 04:00:00+00,Greenbush,281,179
2020/07/13 04:00:00+00,Fairmount,293.5,180
2020/07/14 04:00:00+00,Providence/Stoughton,2601,181
2020/07/14 04:00:00+00,Newburyport/Rockport,1555,182
2020/07/14 04:00:00+00,Framingham/Worcester,1325,183
2020/07/14 04:00:00+00,Franklin/Foxboro,1299,184
2020/07/14 04:00:00+00,Middleborough/Lakeville,995.5,185
2020/07/14 04:00:00+00,Lowell,931.5,186
2020/07/14 04:00:00+00,Haverhill,747,187
2020/07/14 04:00:00+00,Kingston,786.5,188
2020/07/14 04:00:00+00,Needham,557,189
2020/07/14 04:00:00+00,Fitchburg,573,190
2020/07/14 04:00:00+00,Greenbush,334,191
2020/07/14 04:00:00+00,Fairmount,366.5,192
2020/07/15 04:00:00+00,Providence/Stoughton,2813,193
2020/07/15 04:00:00+00,Newburyport/Rockport,1568,194
2020/07/15 04:00:00+00,Framingham/Worcester,1261.5,195
2020/07/15 04:00:00+00,Franklin/Foxboro,1519,196
2020/07/15 04:00:00+00,Middleborough/Lakeville,914,197
2020/07/15 04:00:00+00,Lowell,1037,198
2020/07/15 04:00:00+00,Haverhill,705,199
2020/07/15 04:00:00+00,Kingston,808,200
2020/07/21 04:00:00+00,Greenbush,367,201
2020/07/21 04:00:00+00,Fairmount,409.5,202
2020/07/22 04:00:00+00,Providence/Stoughton,2939,203
2020/07/22 04:00:00+00,Newburyport/Rockport,1394.5,204
2020/07/22 04:00:00+00,Framingham/Worcester,1447.5,205
2020/07/22 04:00:00+00,Franklin/Foxboro,1343,206
2020/07/22 04:00:00+00,Middleborough/Lakeville,1024,207
2020/07/22 04:00:00+00,Lowell,838,208
2020/07/22 04:00:00+00,Haverhill,642,209
2020/07/22 04:00:00+00,Kingston,820,210
2020/07/22 04:00:00+00,Needham,596.5,211
2020/07/22 04:00:00+00,Fitchburg,536,212
2020/07/22 04:00:00+00,Greenbush,317,213
2020/07/22 04:00:00+00,Fairmount,411.5,214
2020/07/23 04:00:00+00,Providence/Stoughton,3186,215
2020/07/23 04:00:00+00,Newburyport/Rockport,1366.5,216
2020/07/23 04:00:00+00,Framingham/Worcester,1506,217
2020/07/23 04:00:00+00,Franklin/Foxboro,1417,218
2020/07/23 04:00:00+00,Middleborough/Lakeville,963,219
2020/07/23 04:00:00+00,Lowell,842.5,220
2020/07/23 04:00:00+00,Haverhill,655,221
2020/07/23 04:00:00+00,Kingston,642,222
2020/07/23 04:00:00+00,Needham,656.5,223
2020/07/23 04:00:00+00,Fitchburg,610,224
2020/07/23 04:00:00+00,Greenbush,295.5,225
2020/07/23 04:00:00+00,Fairmount,443.5,226
2020/07/24 04:00:00+00,Providence/Stoughton,2883,227
2020/07/24 04:00:00+00,Newburyport/Rockport,1451.5,228
2020/07/24 04:00:00+00,Framingham/Worcester,1586,229
2020/07/24 04:00:00+00,Franklin/Foxboro,1326.5,230
2020/07/24 04:00:00+00,Middleborough/Lakeville,830,231
2020/07/24 04:00:00+00,Lowell,824,232
2020/07/24 04:00:00+00,Haverhill,573,233
2020/07/24 04:00:00+00,Kingston,677,234
2020/07/24 04:00:00+00,Needham,584,235
2020/07/24 04:00:00+00,Fitchburg,524,236
2020/07/24 04:00:00+00,Greenbush,297,237
2020/07/24 04:00:00+00,Fairmount,411.5,238
2020/07/27 04:00:00+00,Providence/Stoughton,2767,239
2020/07/27 04:00:00+00,Newburyport/Rockport,1379.5,240
2020/07/27 04:00:00+00,Framingham/Worcester,1443,241
2020/07/27 04:00:00+00,Franklin/Foxboro,1275.5,242
2020/07/27 04:00:00+00,Middleborough/Lakeville,862.5,243
2020/07/27 04:00:00+00,Lowell,920,244
2020/07/27 04:00:00+00,Haverhill,685,245
2020/07/27 04:00:00+00,Kingston,617,246
2020/07/27 04:00:00+00,Needham,654,247
2020/07/27 04:00:00+00,Fitchburg,575,248
2020/07/27 04:00:00+00,Greenbush,294,249
2020/07/27 04:00:00+00,Fairmount,345.5,250
2020/08/03 04:00:00+00,Framingham/Worcester,1496.5,251
2020/08/03 04:00:00+00,Franklin/Foxboro,1453,252
2020/08/03 04:00:00+00,Middleborough/Lakeville,925.5,253
2020/08/03 04:00:00+00,Lowell,921,254
2020/08/03 04:00:00+00,Haverhill,640,255
2020/08/03 04:00:00+00,Kingston,656.5,256
2020/08/03 04:00:00+00,Needham,659,257
2020/08/03 04:00:00+00,Fitchburg,617,258
2020/08/03 04:00:00+00,Greenbush,353,259
2020/08/03 04:00:00+00,Fairmount,371,260
2020/08/04 04:00:00+00,Providence/Stoughton,2938,261
2020/08/04 04:00:00+00,Newburyport/Rockport,1472,262
2020/08/04 04:00:00+00,Framingham/Worcester,1498,263
2020/08/04 04:00:00+00,Franklin/Foxboro,1371,264
2020/08/04 04:00:00+00,Middleborough/Lakeville,939,265
2020/08/04 04:00:00+00,Lowell,848,266
2020/08/04 04:00:00+00,Haverhill,697,267
2020/08/04 04:00:00+00,Kingston,701.5,268
2020/08/04 04:00:00+00,Needham,658.5,269
2020/08/04 04:00:00+00,Fitchburg,572,270
2020/08/04 04:00:00+00,Greenbush,336.5,271
2020/08/04 04:00:00+00,Fairmount,414.5,272
2020/08/05 04:00:00+00,Providence/Stoughton,2866.5,273
2020/08/05 04:00:00+00,Newburyport/Rockport,1543,274
2020/08/05 04:00:00+00,Framingham/Worcester,1292,275
2020/08/05 04:00:00+00,Franklin/Foxboro,1393,276
