Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2025-05-16,000194R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Kendall to Central,place-knncl | place-cntsq,Between Stations,RBNB-26,Restriction Cleared,2025-05-15,2025-05-16,10 mph,Track,400,0.07575757575757576,0.0015979239771688623,47.41,5.553260208002915e-4,136.42,Single Segment,Start|End,1,1,1,0,0,-1,0,0
2025-05-27,000195R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Between Stations,RBNB-06,Restriction Cleared,2025-05-26,2025-05-27,10 mph,Track,500,0.0946969696969697,0.0019974049714610777,47.41,6.941575260003644e-4,136.42,Single Segment,Start|End,1,1,1,0,0,-1,0,0
2025-05-15,000194R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Kendall to Central,place-knncl | place-cntsq,Between Stations,RBNB-26,Restriction Opened,2025-05-15,,10 mph,Track,400,0.07575757575757576,0.0015979239771688623,47.41,5.553260208002915e-4,136.42,Single Segment,Start|End,0,,0,0,1,0,0,1
2025-05-26,000195R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Between Stations,RBNB-06,Restriction Opened,2025-05-26,,10 mph,Track,500,0.0946969696969697,0.0019974049714610777,47.41,6.941575260003644e-4,136.42,Single Segment,Start|End,0,,0,0,1,0,0,1
2025-05-18,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,80,,1,0,0,0,0,1
2025-05-17,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,79,,1,0,0,0,0,1
2025-05-16,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,78,,1,0,0,0,0,1
2025-05-15,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,77,,1,0,0,0,0,1
2025-05-14,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,76,,1,0,0,0,0,1
2025-05-13,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,75,,1,0,0,0,0,1
2025-05-12,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,74,,1,0,0,0,0,1
2025-05-11,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,73,,1,0,0,0,0,1
2025-05-10,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,72,,1,0,0,0,0,1
2025-05-09,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,71,,1,0,0,0,0,1
2025-05-08,000091L,SB,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Between Stations,OLSB-06,Active Restriction,2025-02-27,,25 mph,Track,1600,0.30303030303030304,0.013444112822994812,22.54,0.002221304083201166,136.42,Single Segment,Start|End,70,,1,0,0,0,0,1
