service_date,line,est_ridership,num_slow_zones,total_track_pct,total_miles_affected,otp_score,day_of_week,month,num_alerts
2023-01-01,blue,15214.4,0.0,0.0,0.0,0.9937620692657977,Sunday,January,0.0
2023-01-01,green,22745.689929,17.0,0.03297117311286579,1.7801136363636356,0.7953189332182554,Sunday,January,0.0
2023-01-01,orange,24492.17,12.0,0.08889919604205271,2.0037878787878776,0.9784583463201364,Sunday,January,1.0
2023-01-01,red,27863.44,23.0,0.07464102637852732,3.538731060606058,0.9005843073622035,Sunday,January,0.0
2023-01-02,blue,19025.4,0.0,0.0,0.0,0.9866044545716525,Monday,January,0.0
2023-01-02,green,33941.003255,17.0,0.03297117311286579,1.7801136363636356,0.8102175930229399,Monday,January,0.0
2023-01-02,orange,36121.95,12.0,0.08889919604205271,2.0037878787878776,0.9737371871192387,Monday,January,0.0
2023-01-02,red,40917.08,23.0,0.07464102637852732,3.538731060606058,0.900120767132407,Monday,January,1.0
2023-01-03,blue,25893.5,0.0,0.0,0.0,0.9023972452443314,Tuesday,January,1.0
2023-01-03,green,37541.84992,17.0,0.03297117311286579,1.7801136363636356,0.8140906125005996,Tuesday,January,0.0
2023-01-03,orange,59507.71,12.0,0.08889919604205271,2.0037878787878776,0.8630983559865473,Tuesday,January,0.0
2023-01-03,red,75115.94,24.0,0.07703791234428052,3.6523674242424216,0.8838189974848886,Tuesday,January,1.0
2023-01-04,blue,30212.7,0.0,0.0,0.0,0.9548304529121336,Wednesday,January,0.0
2023-01-04,green,42873.253252,17.0,0.03297117311286579,1.7801136363636356,0.8081429472396386,Wednesday,January,1.0
2023-01-04,orange,66792.76,12.0,0.08889919604205271,2.0037878787878776,0.8012885506422327,Wednesday,January,0.0
2023-01-04,red,84428.32,23.0,0.07464102637852732,3.538731060606058,0.8978529046624372,Wednesday,January,0.0
2023-01-05,blue,30162.3,0.0,0.0,0.0,0.9406841761452845,Thursday,January,0.0
2023-01-05,green,44336.933253,17.0,0.03297117311286579,1.7801136363636356,0.7866166350148793,Thursday,January,2.0
2023-01-05,orange,66905.0,25.0,0.15572483934285025,3.5100378787878768,0.827847697864997,Thursday,January,3.0
2023-01-05,red,84581.3,23.0,0.07464102637852732,3.538731060606058,0.900574187025546,Thursday,January,0.0
2023-01-06,blue,28520.6,0.0,0.0,0.0,0.9404855432024991,Friday,January,0.0
2023-01-06,green,39676.569914,17.0,0.03297117311286579,1.7801136363636356,0.7929491933813871,Friday,January,0.0
2023-01-06,orange,60631.83,25.0,0.15572483934285025,3.5100378787878768,0.8406414510203156,Friday,January,3.0
2023-01-06,red,73358.6,23.0,0.07464102637852732,3.538731060606058,0.8982298553972158,Friday,January,0.0
2023-01-07,blue,23883.2,0.0,0.0,0.0,0.9954022279439443,Saturday,January,0.0
2023-01-07,green,42019.469916,16.0,0.03262037863352899,1.7611742424242416,0.8248715280147693,Saturday,January,1.0
2023-01-07,orange,43341.96,25.0,0.15572483934285025,3.5100378787878768,0.9196349364753982,Saturday,January,2.0
